rating,series_id,index_bank
13.0,294,АО РОСЭКСИМБАНК
13.0,295,АО РОСЭКСИМБАНК
13.0,296,АО РОСЭКСИМБАНК
13.0,297,АО РОСЭКСИМБАНК
13.0,298,АО РОСЭКСИМБАНК
13.0,299,АО РОСЭКСИМБАНК
13.0,300,АО РОСЭКСИМБАНК
13.0,301,АО РОСЭКСИМБАНК
13.0,302,АО РОСЭКСИМБАНК
13.0,303,АО РОСЭКСИМБАНК
9.0,304,Азия-Инвест Банк (АО)
9.0,305,Азия-Инвест Банк (АО)
9.0,306,Азия-Инвест Банк (АО)
10.0,307,Азия-Инвест Банк (АО)
10.0,308,Азия-Инвест Банк (АО)
10.0,309,Азия-Инвест Банк (АО)
13.0,310,АйСиБиСи Банк (АО)
13.0,311,АйСиБиСи Банк (АО)
13.0,312,АйСиБиСи Банк (АО)
13.0,313,АйСиБиСи Банк (АО)
13.0,314,АйСиБиСи Банк (АО)
13.0,315,АйСиБиСи Банк (АО)
13.0,316,АйСиБиСи Банк (АО)
13.0,317,АйСиБиСи Банк (АО)
13.0,318,АйСиБиСи Банк (АО)
13.0,319,АйСиБиСи Банк (АО)
13.0,320,АйСиБиСи Банк (АО)
13.0,321,АйСиБиСи Банк (АО)
13.0,322,АйСиБиСи Банк (АО)
13.0,323,"Банк ""ВБРР"" (АО)"
13.0,324,"Банк ""ВБРР"" (АО)"
13.0,325,"Банк ""ВБРР"" (АО)"
13.0,326,"Банк ""ВБРР"" (АО)"
13.0,327,"Банк ""ВБРР"" (АО)"
13.0,328,"Банк ""ВБРР"" (АО)"
13.0,329,"Банк ""ВБРР"" (АО)"
13.0,330,"Банк ""ВБРР"" (АО)"
13.0,331,"Банк ""ВБРР"" (АО)"
13.0,332,"Банк ""ВБРР"" (АО)"
13.0,333,"Банк ""ВБРР"" (АО)"
14.0,334,Банк ВТБ (ПАО)
13.0,335,Банк ГПБ (АО)
13.0,336,Банк ГПБ (АО)
13.0,337,Банк ГПБ (АО)
13.0,338,Банк ГПБ (АО)
13.0,339,Банк ГПБ (АО)
13.0,340,Банк ГПБ (АО)
13.0,341,Банк ГПБ (АО)
9.0,342,"КБ ""Кубань Кредит"" ООО"
9.0,343,"КБ ""Кубань Кредит"" ООО"
9.0,344,"КБ ""Кубань Кредит"" ООО"
9.0,345,"КБ ""Кубань Кредит"" ООО"
9.0,346,"КБ ""Кубань Кредит"" ООО"
9.0,347,"КБ ""Кубань Кредит"" ООО"
9.0,348,"КБ ""Кубань Кредит"" ООО"
9.0,349,"КБ ""Кубань Кредит"" ООО"
9.0,350,"КБ ""Кубань Кредит"" ООО"
9.0,351,"КБ ""Кубань Кредит"" ООО"
9.0,352,"КБ ""Кубань Кредит"" ООО"
9.0,353,"КБ ""Кубань Кредит"" ООО"
9.0,354,"КБ ""Кубань Кредит"" ООО"
9.0,355,"КБ ""Кубань Кредит"" ООО"
10.0,356,"КБ ""ЛОКО-Банк"" (АО)"
10.0,357,"КБ ""ЛОКО-Банк"" (АО)"
10.0,358,"КБ ""ЛОКО-Банк"" (АО)"
10.0,359,"КБ ""ЛОКО-Банк"" (АО)"
10.0,360,"КБ ""ЛОКО-Банк"" (АО)"
10.0,361,"КБ ""ЛОКО-Банк"" (АО)"
10.0,362,"КБ ""ЛОКО-Банк"" (АО)"
10.0,363,"КБ ""ЛОКО-Банк"" (АО)"
10.0,364,"КБ ""ЛОКО-Банк"" (АО)"
10.0,365,"КБ ""ЛОКО-Банк"" (АО)"
10.0,366,"КБ ""ЛОКО-Банк"" (АО)"
10.0,367,"КБ ""ЛОКО-Банк"" (АО)"
10.0,368,"КБ ""ЛОКО-Банк"" (АО)"
11.0,369,"КБ ""ЛОКО-Банк"" (АО)"
7.0,370,"КБ ""Москоммерцбанк"" (АО)"
7.0,371,"КБ ""Москоммерцбанк"" (АО)"
7.0,372,"КБ ""Москоммерцбанк"" (АО)"
7.0,373,"КБ ""Москоммерцбанк"" (АО)"
7.0,374,"КБ ""Москоммерцбанк"" (АО)"
7.0,375,"КБ ""Москоммерцбанк"" (АО)"
7.0,376,"КБ ""Москоммерцбанк"" (АО)"
7.0,377,"КБ ""Москоммерцбанк"" (АО)"
7.0,378,"КБ ""Москоммерцбанк"" (АО)"
7.0,379,"КБ ""Москоммерцбанк"" (АО)"
7.0,380,"КБ ""Москоммерцбанк"" (АО)"
7.0,381,"КБ ""Москоммерцбанк"" (АО)"
7.0,382,"КБ ""Москоммерцбанк"" (АО)"
9.0,383,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,384,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,385,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,386,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,387,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,388,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,389,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,390,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,391,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,392,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,393,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
9.0,394,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)"
10.0,395,КИВИ Банк (АО)
10.0,396,КИВИ Банк (АО)
10.0,397,КИВИ Банк (АО)
10.0,398,КИВИ Банк (АО)
10.0,399,КИВИ Банк (АО)
10.0,400,КИВИ Банк (АО)
10.0,401,КИВИ Банк (АО)
10.0,402,КИВИ Банк (АО)
10.0,403,КИВИ Банк (АО)
10.0,404,КИВИ Банк (АО)
10.0,405,КИВИ Банк (АО)
10.0,406,КИВИ Банк (АО)
10.0,407,КИВИ Банк (АО)
10.0,408,КИВИ Банк (АО)
14.0,409,НКО НКЦ (АО)
14.0,410,НКО НКЦ (АО)
14.0,411,НКО НКЦ (АО)
14.0,412,НКО НКЦ (АО)
14.0,413,НКО НКЦ (АО)
14.0,414,НКО НКЦ (АО)
14.0,415,НКО НКЦ (АО)
14.0,416,НКО НКЦ (АО)
14.0,417,НКО НКЦ (АО)
14.0,418,НКО НКЦ (АО)
14.0,419,НКО НКЦ (АО)
14.0,420,НКО НКЦ (АО)
14.0,421,НКО НКЦ (АО)
11.0,422,"ООО ""ХКФ Банк"""
11.0,423,"ООО ""ХКФ Банк"""
11.0,424,"ООО ""ХКФ Банк"""
11.0,425,"ООО ""ХКФ Банк"""
11.0,426,"ООО ""ХКФ Банк"""
11.0,427,"ООО ""ХКФ Банк"""
11.0,428,"ООО ""ХКФ Банк"""
11.0,429,"ООО ""ХКФ Банк"""
11.0,430,"ООО ""ХКФ Банк"""
11.0,431,"ООО ""ХКФ Банк"""
11.0,432,"ООО ""ХКФ Банк"""
11.0,433,"ООО ""ХКФ Банк"""
11.0,434,"ООО ""ХКФ Банк"""
11.0,435,"ООО ""Экспобанк"""
11.0,436,"ООО ""Экспобанк"""
11.0,437,"ООО ""Экспобанк"""
11.0,438,"ООО ""Экспобанк"""
11.0,439,"ООО ""Экспобанк"""
11.0,440,"ООО ""Экспобанк"""
11.0,441,"ООО ""Экспобанк"""
11.0,442,"ООО ""Экспобанк"""
11.0,443,"ООО ""Экспобанк"""
11.0,444,"ООО ""Экспобанк"""
11.0,445,"ООО ""Экспобанк"""
11.0,446,"ООО ""Экспобанк"""
11.0,447,"ООО ""Экспобанк"""
11.0,448,"ООО ""Экспобанк"""
9.0,449,"ООО КБЭР ""Банк Казани"""
9.0,450,"ООО КБЭР ""Банк Казани"""
9.0,451,"ООО КБЭР ""Банк Казани"""
9.0,452,"ООО КБЭР ""Банк Казани"""
9.0,453,"ООО КБЭР ""Банк Казани"""
9.0,454,"ООО КБЭР ""Банк Казани"""
9.0,455,"ООО КБЭР ""Банк Казани"""
9.0,456,"ООО КБЭР ""Банк Казани"""
9.0,457,"ООО КБЭР ""Банк Казани"""
9.0,458,"ООО КБЭР ""Банк Казани"""
9.0,459,"ООО КБЭР ""Банк Казани"""
9.0,460,"ООО КБЭР ""Банк Казани"""
9.0,461,"ООО КБЭР ""Банк Казани"""
10.0,462,"ПАО ""БАНК УРАЛСИБ"""
10.0,463,"ПАО ""БАНК УРАЛСИБ"""
10.0,464,"ПАО ""БАНК УРАЛСИБ"""
10.0,465,"ПАО ""БАНК УРАЛСИБ"""
11.0,466,"ПАО ""БАНК УРАЛСИБ"""
11.0,467,"ПАО ""БАНК УРАЛСИБ"""
11.0,468,"ПАО ""БАНК УРАЛСИБ"""
11.0,469,"ПАО ""БАНК УРАЛСИБ"""
11.0,470,"ПАО ""БАНК УРАЛСИБ"""
11.0,471,"ПАО ""БАНК УРАЛСИБ"""
11.0,472,"ПАО ""БАНК УРАЛСИБ"""
11.0,473,"ПАО ""БАНК УРАЛСИБ"""
11.0,474,"ПАО ""БАНК УРАЛСИБ"""
11.0,475,"ПАО ""Банк ""Санкт-Петербург"""
11.0,476,"ПАО ""Банк ""Санкт-Петербург"""
11.0,477,"ПАО ""Банк ""Санкт-Петербург"""
11.0,478,"ПАО ""Банк ""Санкт-Петербург"""
11.0,479,"ПАО ""Банк ""Санкт-Петербург"""
11.0,480,"ПАО ""Банк ""Санкт-Петербург"""
11.0,481,"ПАО ""Банк ""Санкт-Петербург"""
11.0,482,"ПАО ""Банк ""Санкт-Петербург"""
11.0,483,"ПАО ""Банк ""Санкт-Петербург"""
11.0,484,"ПАО ""Банк ""Санкт-Петербург"""
11.0,485,"ПАО ""Банк ""Санкт-Петербург"""
11.0,486,"ПАО ""Банк ""Санкт-Петербург"""
12.0,487,"ПАО ""Банк ""Санкт-Петербург"""
12.0,488,"ПАО ""Банк ""Санкт-Петербург"""
12.0,489,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,490,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,491,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,492,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,493,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,494,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,495,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,496,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,497,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,498,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,499,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
12.0,500,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""
